state,permit,handgun,long_gun,other,year
Oklahoma,0.0,11750.0,8792.0,1139.0,2016
Oregon,21.0,14284.0,10507.0,0.0,2016
Pennsylvania,26819.0,46843.0,11793.0,19.0,2016
Puerto Rico,0.0,1038.0,234.0,31.0,2016
Rhode Island,0.0,1133.0,951.0,101.0,2016
South Carolina,14025.0,9967.0,5880.0,707.0,2016
South Dakota,1179.0,2490.0,3004.0,277.0,2016
Tennessee,1915.0,26276.0,16118.0,0.0,2016
Texas,24634.0,50499.0,34266.0,4046.0,2016
Utah,9754.0,3381.0,3328.0,276.0,2016
Vermont,0.0,1293.0,1201.0,117.0,2016
Virgin Islands,81.0,21.0,2.0,0.0,2016
Virginia,1102.0,24671.0,16731.0,1064.0,2016
Washington,14111.0,15652.0,11536.0,2118.0,2016
West Virginia,1992.0,6417.0,5134.0,313.0,2016
Wisconsin,14505.0,13182.0,9870.0,847.0,2016
Wyoming,597.0,1619.0,1769.0,131.0,2016
Alabama,24802.0,9146.0,7273.0,555.0,2016
Alaska,290.0,2987.0,3204.0,286.0,2016
Arizona,6371.0,12942.0,8614.0,1345.0,2016
Arkansas,5233.0,5454.0,4574.0,330.0,2016
California,81628.0,43042.0,37512.0,10673.0,2016
Colorado,5283.0,17790.0,15115.0,1676.0,2016
Connecticut,17183.0,12011.0,3974.0,307.0,2016
Delaware,1188.0,1842.0,1621.0,125.0,2016
District of Columbia,23.0,46.0,3.0,0.0,2016
Florida,28462.0,55934.0,29501.0,5096.0,2016
Georgia,16995.0,13307.0,7859.0,649.0,2016
Guam,0.0,104.0,50.0,7.0,2016
Hawaii,1743.0,0.0,0.0,0.0,2016
Idaho,4079.0,3445.0,4143.0,282.0,2016
Illinois,128545.0,22277.0,12787.0,0.0,2016
Indiana,61071.0,18307.0,11949.0,1831.0,2016
Iowa,9899.0,129.0,2004.0,76.0,2016
Kansas,890.0,5275.0,4447.0,523.0,2016
Kentucky,340735.0,8703.0,6584.0,438.0,2016
Louisiana,2088.0,12082.0,8428.0,1161.0,2016
Maine,763.0,3433.0,2943.0,301.0,2016
